2026-02-08 09:21:11,082 | WARNING | METCI | annual | empty statements
2026-02-08 15:18:33,476 | WARNING | AFGC | quarterly | empty statements
2026-02-08 15:18:33,989 | WARNING | AFGD | quarterly | empty statements
2026-02-08 15:18:34,505 | WARNING | AFGE | quarterly | empty statements
2026-02-08 15:18:53,359 | INFO | batch done | 150/5782 (2.6%) | batch_symbols=25 | upsert_rows=117 | elapsed=5.4m
2026-02-08 15:19:02,974 | WARNING | AGIG | quarterly | empty statements
2026-02-08 15:19:44,754 | INFO | batch done | 175/5782 (3.0%) | batch_symbols=25 | upsert_rows=128 | elapsed=6.3m
2026-02-08 15:20:36,274 | INFO | batch done | 200/5782 (3.5%) | batch_symbols=25 | upsert_rows=144 | elapsed=7.1m
2026-02-08 15:20:41,015 | WARNING | AIZN | quarterly | empty statements
2026-02-08 15:21:21,020 | INFO | batch done | 225/5782 (3.9%) | batch_symbols=25 | upsert_rows=141 | elapsed=7.9m
2026-02-08 15:22:03,791 | WARNING | ALOVU | quarterly | empty statements
2026-02-08 15:22:04,456 | WARNING | ALPS | quarterly | empty statements
2026-02-08 15:22:12,324 | INFO | batch done | 250/5782 (4.3%) | batch_symbols=25 | upsert_rows=140 | elapsed=8.7m
2026-02-08 15:23:03,931 | INFO | batch done | 275/5782 (4.8%) | batch_symbols=25 | upsert_rows=149 | elapsed=9.6m
2026-02-08 15:23:57,714 | INFO | batch done | 300/5782 (5.2%) | batch_symbols=25 | upsert_rows=150 | elapsed=10.5m
2026-02-08 15:24:02,555 | WARNING | AMUB | quarterly | empty statements
2026-02-08 15:24:58,434 | INFO | batch done | 325/5782 (5.6%) | batch_symbols=25 | upsert_rows=136 | elapsed=11.5m
2026-02-08 15:25:15,041 | WARNING | AOMD | quarterly | empty statements
2026-02-08 15:25:16,696 | WARNING | AOMN | quarterly | empty statements
2026-02-08 15:25:49,016 | INFO | batch done | 350/5782 (6.1%) | batch_symbols=25 | upsert_rows=137 | elapsed=12.3m
2026-02-08 15:26:04,490 | WARNING | APOS | quarterly | empty statements
2026-02-08 15:26:34,333 | WARNING | AQNB | quarterly | empty statements
2026-02-08 15:26:38,810 | INFO | batch done | 375/5782 (6.5%) | batch_symbols=25 | upsert_rows=135 | elapsed=13.2m
2026-02-08 15:27:34,377 | INFO | batch done | 400/5782 (6.9%) | batch_symbols=25 | upsert_rows=147 | elapsed=14.1m
2026-02-08 15:28:32,325 | INFO | batch done | 425/5782 (7.4%) | batch_symbols=25 | upsert_rows=149 | elapsed=15.1m
2026-02-08 15:29:27,903 | INFO | batch done | 450/5782 (7.8%) | batch_symbols=25 | upsert_rows=142 | elapsed=16.0m
2026-02-08 15:29:39,130 | WARNING | ATCX | quarterly | empty statements
2026-02-08 15:29:54,383 | WARNING | ATHS | quarterly | empty statements
2026-02-08 15:30:00,794 | WARNING | ATLCL | quarterly | empty statements
2026-02-08 15:30:03,889 | WARNING | ATLCZ | quarterly | empty statements
2026-02-08 15:30:14,195 | WARNING | ATMP | quarterly | empty statements
2026-02-08 15:30:14,214 | INFO | batch done | 475/5782 (8.2%) | batch_symbols=25 | upsert_rows=122 | elapsed=16.8m
2026-02-08 15:31:05,179 | INFO | batch done | 500/5782 (8.6%) | batch_symbols=25 | upsert_rows=148 | elapsed=17.6m
2026-02-08 15:31:57,387 | INFO | batch done | 525/5782 (9.1%) | batch_symbols=25 | upsert_rows=148 | elapsed=18.5m
2026-02-08 15:32:45,002 | INFO | batch done | 550/5782 (9.5%) | batch_symbols=25 | upsert_rows=147 | elapsed=19.3m
2026-02-08 15:33:24,948 | WARNING | BANFP | quarterly | empty statements
2026-02-08 15:33:34,071 | INFO | batch done | 575/5782 (9.9%) | batch_symbols=25 | upsert_rows=150 | elapsed=20.1m
2026-02-08 15:34:33,239 | INFO | batch done | 600/5782 (10.4%) | batch_symbols=25 | upsert_rows=152 | elapsed=21.1m
2026-02-08 15:35:27,100 | INFO | batch done | 625/5782 (10.8%) | batch_symbols=25 | upsert_rows=142 | elapsed=22.0m
2026-02-08 15:35:28,401 | WARNING | BDCX | quarterly | empty statements
2026-02-08 15:35:28,998 | WARNING | BDCZ | quarterly | empty statements
2026-02-08 15:36:03,544 | WARNING | BEPH | quarterly | empty statements
2026-02-08 15:36:04,120 | WARNING | BEPI | quarterly | empty statements
2026-02-08 15:36:04,652 | WARNING | BEPJ | quarterly | empty statements
2026-02-08 15:36:05,418 | WARNING | BERZ | quarterly | empty statements
2026-02-08 15:36:07,133 | INFO | batch done | 650/5782 (11.2%) | batch_symbols=25 | upsert_rows=109 | elapsed=22.6m
2026-02-08 21:58:49,860 | INFO | start fundamentals | freq=quarterly | total_symbols=5182 | chunk_size=25
2026-02-08 21:59:23,860 | INFO | batch done | 25/5182 (0.5%) | batch_symbols=25 | upsert_rows=142 | elapsed=0.6m
2026-02-08 21:59:25,261 | WARNING | BDCX | quarterly | empty statements
2026-02-08 21:59:25,834 | WARNING | BDCZ | quarterly | empty statements
2026-02-08 21:59:52,457 | WARNING | BEPH | quarterly | empty statements
2026-02-08 21:59:53,310 | WARNING | BEPI | quarterly | empty statements
2026-02-08 21:59:53,912 | WARNING | BEPJ | quarterly | empty statements
2026-02-08 21:59:54,525 | WARNING | BERZ | quarterly | empty statements
2026-02-08 21:59:55,814 | INFO | batch done | 50/5182 (1.0%) | batch_symbols=25 | upsert_rows=109 | elapsed=1.1m
2026-02-08 22:00:30,018 | INFO | batch done | 75/5182 (1.4%) | batch_symbols=25 | upsert_rows=125 | elapsed=1.7m
2026-02-08 22:00:41,180 | WARNING | BHFAL | quarterly | empty statements
2026-02-08 22:01:03,797 | INFO | batch done | 100/5182 (1.9%) | batch_symbols=25 | upsert_rows=123 | elapsed=2.2m
2026-02-08 22:01:10,595 | WARNING | BIPH | quarterly | empty statements
2026-02-08 22:01:11,228 | WARNING | BIPI | quarterly | empty statements
2026-02-08 22:01:12,220 | WARNING | BIPJ | quarterly | empty statements
2026-02-08 22:01:35,779 | INFO | batch done | 125/5182 (2.4%) | batch_symbols=25 | upsert_rows=125 | elapsed=2.8m
2026-02-08 22:02:11,319 | INFO | batch done | 150/5182 (2.9%) | batch_symbols=25 | upsert_rows=144 | elapsed=3.4m
2026-02-08 22:02:22,409 | WARNING | BMEZ | quarterly | empty statements
2026-02-08 22:02:43,434 | INFO | batch done | 175/5182 (3.4%) | batch_symbols=25 | upsert_rows=129 | elapsed=3.9m
2026-02-08 22:02:48,000 | WARNING | BNH | quarterly | empty statements
2026-02-08 22:02:48,669 | WARNING | BNJ | quarterly | empty statements
2026-02-08 22:03:15,918 | INFO | batch done | 200/5182 (3.9%) | batch_symbols=25 | upsert_rows=130 | elapsed=4.4m
2026-02-08 22:03:24,879 | WARNING | BPOPM | quarterly | empty statements
2026-02-08 22:03:25,425 | WARNING | BPRE | quarterly | empty statements
2026-02-08 22:03:27,272 | WARNING | BPYPM | quarterly | empty statements
2026-02-08 22:03:46,754 | INFO | batch done | 225/5182 (4.3%) | batch_symbols=25 | upsert_rows=131 | elapsed=4.9m
2026-02-08 22:04:23,672 | INFO | batch done | 250/5182 (4.8%) | batch_symbols=25 | upsert_rows=138 | elapsed=5.6m
2026-02-08 22:04:57,181 | INFO | batch done | 275/5182 (5.3%) | batch_symbols=25 | upsert_rows=124 | elapsed=6.1m
2026-02-08 22:05:04,329 | WARNING | BULZ | quarterly | empty statements
2026-02-08 22:05:34,113 | INFO | batch done | 300/5182 (5.8%) | batch_symbols=25 | upsert_rows=125 | elapsed=6.7m
2026-02-08 22:05:41,728 | WARNING | BWNB | quarterly | empty statements
2026-02-08 22:06:06,921 | INFO | batch done | 325/5182 (6.3%) | batch_symbols=25 | upsert_rows=143 | elapsed=7.3m
2026-02-08 22:06:40,064 | INFO | batch done | 350/5182 (6.8%) | batch_symbols=25 | upsert_rows=146 | elapsed=7.8m
2026-02-08 22:07:05,722 | WARNING | CBC | quarterly | empty statements
2026-02-08 22:07:11,927 | INFO | batch done | 375/5182 (7.2%) | batch_symbols=25 | upsert_rows=145 | elapsed=8.4m
2026-02-08 22:07:44,764 | INFO | batch done | 400/5182 (7.7%) | batch_symbols=25 | upsert_rows=140 | elapsed=8.9m
2026-02-08 22:08:03,399 | WARNING | CCZ | quarterly | empty statements
2026-02-08 22:08:17,265 | INFO | batch done | 425/5182 (8.2%) | batch_symbols=25 | upsert_rows=136 | elapsed=9.5m
2026-02-08 22:08:29,583 | WARNING | CEFD | quarterly | empty statements
2026-02-08 22:08:48,816 | INFO | batch done | 450/5182 (8.7%) | batch_symbols=25 | upsert_rows=140 | elapsed=10.0m
2026-02-08 22:09:00,638 | WARNING | CFND | quarterly | empty statements
2026-02-08 22:09:03,620 | WARNING | CGABL | quarterly | empty statements
2026-02-08 22:09:20,479 | INFO | batch done | 475/5182 (9.2%) | batch_symbols=25 | upsert_rows=128 | elapsed=10.5m
2026-02-08 22:09:44,813 | WARNING | CHSCL | quarterly | empty statements
2026-02-08 22:09:45,441 | WARNING | CHSCM | quarterly | empty statements
2026-02-08 22:09:46,139 | WARNING | CHSCN | quarterly | empty statements
2026-02-08 22:09:47,018 | WARNING | CHSCO | quarterly | empty statements
2026-02-08 22:09:47,697 | WARNING | CHSCP | quarterly | empty statements
2026-02-08 22:09:51,483 | INFO | batch done | 500/5182 (9.6%) | batch_symbols=25 | upsert_rows=115 | elapsed=11.0m
2026-02-08 22:10:00,521 | WARNING | CICB | quarterly | empty statements
2026-02-08 22:10:13,780 | WARNING | CIMN | quarterly | empty statements
2026-02-08 22:10:14,323 | WARNING | CIMO | quarterly | empty statements
2026-02-08 22:10:14,859 | WARNING | CIMP | quarterly | empty statements
2026-02-08 22:10:21,400 | INFO | batch done | 525/5182 (10.1%) | batch_symbols=25 | upsert_rows=111 | elapsed=11.5m
2026-02-08 22:10:23,765 | WARNING | CITR | quarterly | empty statements
2026-02-08 22:10:57,273 | INFO | batch done | 550/5182 (10.6%) | batch_symbols=25 | upsert_rows=142 | elapsed=12.1m
2026-02-08 22:11:31,870 | INFO | batch done | 575/5182 (11.1%) | batch_symbols=25 | upsert_rows=142 | elapsed=12.7m
2026-02-08 22:11:51,433 | WARNING | CMSA | quarterly | empty statements
2026-02-08 22:11:52,054 | WARNING | CMSC | quarterly | empty statements
2026-02-08 22:11:53,055 | WARNING | CMSD | quarterly | empty statements
2026-02-08 22:12:07,109 | INFO | batch done | 600/5182 (11.6%) | batch_symbols=25 | upsert_rows=136 | elapsed=13.3m
2026-02-08 22:12:46,763 | INFO | batch done | 625/5182 (12.1%) | batch_symbols=25 | upsert_rows=158 | elapsed=13.9m
2026-02-08 22:13:21,234 | INFO | batch done | 650/5182 (12.5%) | batch_symbols=25 | upsert_rows=152 | elapsed=14.5m
2026-02-08 22:13:54,960 | INFO | batch done | 675/5182 (13.0%) | batch_symbols=25 | upsert_rows=157 | elapsed=15.1m
2026-02-08 22:14:01,950 | WARNING | CRBD | quarterly | empty statements
2026-02-08 22:14:26,628 | INFO | batch done | 700/5182 (13.5%) | batch_symbols=25 | upsert_rows=129 | elapsed=15.6m
2026-02-08 22:15:00,562 | INFO | batch done | 725/5182 (14.0%) | batch_symbols=25 | upsert_rows=151 | elapsed=16.2m
2026-02-08 22:15:22,454 | WARNING | CTBB | quarterly | empty statements
2026-02-08 22:15:24,460 | WARNING | CTDD | quarterly | empty statements
2026-02-08 22:15:33,604 | INFO | batch done | 750/5182 (14.5%) | batch_symbols=25 | upsert_rows=139 | elapsed=16.7m
2026-02-08 22:15:54,392 | WARNING | CUBB | quarterly | empty statements
2026-02-08 22:16:07,061 | INFO | batch done | 775/5182 (15.0%) | batch_symbols=25 | upsert_rows=141 | elapsed=17.3m
2026-02-08 22:16:40,718 | INFO | batch done | 800/5182 (15.4%) | batch_symbols=25 | upsert_rows=157 | elapsed=17.8m
2026-02-08 22:17:14,209 | INFO | batch done | 825/5182 (15.9%) | batch_symbols=25 | upsert_rows=146 | elapsed=18.4m
2026-02-08 22:17:50,285 | INFO | batch done | 850/5182 (16.4%) | batch_symbols=25 | upsert_rows=148 | elapsed=19.0m
2026-02-08 22:18:02,153 | WARNING | DCOMG | quarterly | empty statements
2026-02-08 22:18:15,056 | WARNING | DDT | quarterly | empty statements
2026-02-08 22:18:25,364 | INFO | batch done | 875/5182 (16.9%) | batch_symbols=25 | upsert_rows=131 | elapsed=19.6m
2026-02-08 22:18:44,495 | WARNING | DGP | quarterly | empty statements
2026-02-08 22:18:48,886 | WARNING | DGZ | quarterly | empty statements
2026-02-08 22:18:52,275 | WARNING | DHCNI | quarterly | empty statements
2026-02-08 22:18:52,792 | WARNING | DHCNL | quarterly | empty statements
2026-02-08 22:18:56,212 | INFO | batch done | 900/5182 (17.4%) | batch_symbols=25 | upsert_rows=121 | elapsed=20.1m
2026-02-08 22:19:18,967 | WARNING | DJP | quarterly | empty statements
2026-02-08 22:19:34,614 | INFO | batch done | 925/5182 (17.9%) | batch_symbols=25 | upsert_rows=142 | elapsed=20.7m
2026-02-08 22:20:12,831 | INFO | batch done | 950/5182 (18.3%) | batch_symbols=25 | upsert_rows=133 | elapsed=21.4m
2026-02-08 22:20:49,365 | INFO | batch done | 975/5182 (18.8%) | batch_symbols=25 | upsert_rows=142 | elapsed=22.0m
2026-02-08 22:20:58,240 | WARNING | DTB | quarterly | empty statements
2026-02-08 22:21:01,214 | WARNING | DTCX | quarterly | empty statements
2026-02-08 22:21:04,628 | WARNING | DTG | quarterly | empty statements
2026-02-08 22:21:09,621 | WARNING | DTK | quarterly | empty statements
2026-02-08 22:21:12,862 | WARNING | DTW | quarterly | empty statements
2026-02-08 22:21:14,793 | WARNING | DUKB | quarterly | empty statements
2026-02-08 22:21:24,458 | INFO | batch done | 1000/5182 (19.3%) | batch_symbols=25 | upsert_rows=102 | elapsed=22.6m
2026-02-08 22:21:47,899 | WARNING | DZZ | quarterly | empty statements
2026-02-08 22:21:55,324 | WARNING | EAI | quarterly | empty statements
2026-02-08 22:22:05,221 | INFO | batch done | 1025/5182 (19.8%) | batch_symbols=25 | upsert_rows=133 | elapsed=23.3m
2026-02-08 22:22:15,908 | WARNING | ECCU | quarterly | empty statements
2026-02-08 22:22:16,416 | WARNING | ECCV | quarterly | empty statements
2026-02-08 22:22:17,165 | WARNING | ECCW | quarterly | empty statements
2026-02-08 22:22:17,778 | WARNING | ECCX | quarterly | empty statements
2026-02-08 22:22:35,410 | INFO | batch done | 1050/5182 (20.3%) | batch_symbols=25 | upsert_rows=105 | elapsed=23.8m
2026-02-08 22:22:59,721 | WARNING | EFTY | quarterly | empty statements
2026-02-08 22:23:09,078 | INFO | batch done | 1075/5182 (20.7%) | batch_symbols=25 | upsert_rows=136 | elapsed=24.3m
2026-02-08 22:23:25,475 | WARNING | EIIA | quarterly | empty statements
2026-02-08 22:23:36,328 | WARNING | ELC | quarterly | empty statements
2026-02-08 22:23:40,362 | INFO | batch done | 1100/5182 (21.2%) | batch_symbols=25 | upsert_rows=125 | elapsed=24.8m
2026-02-08 22:24:14,004 | WARNING | EMP | quarterly | empty statements
2026-02-08 22:24:14,020 | INFO | batch done | 1125/5182 (21.7%) | batch_symbols=25 | upsert_rows=128 | elapsed=25.4m
2026-02-08 22:24:24,145 | WARNING | ENJ | quarterly | empty statements
2026-02-08 22:24:29,399 | WARNING | ENO | quarterly | empty statements
2026-02-08 22:24:47,763 | INFO | batch done | 1150/5182 (22.2%) | batch_symbols=25 | upsert_rows=133 | elapsed=26.0m
2026-02-08 22:25:23,382 | INFO | batch done | 1175/5182 (22.7%) | batch_symbols=25 | upsert_rows=144 | elapsed=26.6m
2026-02-08 22:25:58,120 | INFO | batch done | 1200/5182 (23.2%) | batch_symbols=25 | upsert_rows=141 | elapsed=27.1m
2026-02-08 22:26:35,379 | INFO | batch done | 1225/5182 (23.6%) | batch_symbols=25 | upsert_rows=123 | elapsed=27.8m
2026-02-08 22:27:08,943 | INFO | batch done | 1250/5182 (24.1%) | batch_symbols=25 | upsert_rows=134 | elapsed=28.3m
2026-02-08 22:27:43,999 | INFO | batch done | 1275/5182 (24.6%) | batch_symbols=25 | upsert_rows=151 | elapsed=28.9m
2026-02-08 22:28:16,794 | INFO | batch done | 1300/5182 (25.1%) | batch_symbols=25 | upsert_rows=148 | elapsed=29.4m
2026-02-08 22:28:26,097 | WARNING | FCRX | quarterly | empty statements
2026-02-08 22:28:50,459 | INFO | batch done | 1325/5182 (25.6%) | batch_symbols=25 | upsert_rows=139 | elapsed=30.0m
2026-02-08 22:29:15,416 | WARNING | FGN | quarterly | empty statements
2026-02-08 22:29:19,377 | WARNING | FGSN | quarterly | empty statements
2026-02-08 22:29:25,410 | INFO | batch done | 1350/5182 (26.1%) | batch_symbols=25 | upsert_rows=138 | elapsed=30.6m
2026-02-08 22:30:02,789 | INFO | batch done | 1375/5182 (26.5%) | batch_symbols=25 | upsert_rows=146 | elapsed=31.2m
2026-02-08 22:30:27,987 | WARNING | FLYD | quarterly | empty statements
2026-02-08 22:30:30,093 | WARNING | FLYU | quarterly | empty statements
2026-02-08 22:30:39,050 | INFO | batch done | 1400/5182 (27.0%) | batch_symbols=25 | upsert_rows=141 | elapsed=31.8m
2026-02-08 22:30:51,775 | WARNING | FNGD | quarterly | empty statements
2026-02-08 22:30:52,714 | WARNING | FNGO | quarterly | empty statements
2026-02-08 22:30:55,016 | WARNING | FNGS | quarterly | empty statements
2026-02-08 22:31:04,738 | WARNING | FOFO | quarterly | empty statements
2026-02-08 22:31:10,535 | INFO | batch done | 1425/5182 (27.5%) | batch_symbols=25 | upsert_rows=128 | elapsed=32.3m
2026-02-08 22:31:49,436 | INFO | batch done | 1450/5182 (28.0%) | batch_symbols=25 | upsert_rows=147 | elapsed=33.0m
2026-02-08 22:32:23,734 | INFO | batch done | 1475/5182 (28.5%) | batch_symbols=25 | upsert_rows=145 | elapsed=33.6m
2026-02-08 22:32:58,087 | INFO | batch done | 1500/5182 (28.9%) | batch_symbols=25 | upsert_rows=141 | elapsed=34.1m
2026-02-08 22:33:25,249 | WARNING | GAINI | quarterly | empty statements
2026-02-08 22:33:25,780 | WARNING | GAINN | quarterly | empty statements
2026-02-08 22:33:26,356 | WARNING | GAINZ | quarterly | empty statements
2026-02-08 22:33:31,686 | INFO | batch done | 1525/5182 (29.4%) | batch_symbols=25 | upsert_rows=127 | elapsed=34.7m
2026-02-08 22:33:53,994 | WARNING | GCDT | quarterly | empty statements
2026-02-08 22:34:03,806 | INFO | batch done | 1550/5182 (29.9%) | batch_symbols=25 | upsert_rows=140 | elapsed=35.2m
2026-02-08 22:34:19,982 | WARNING | GDXD | quarterly | empty statements
2026-02-08 22:34:20,519 | WARNING | GDXU | quarterly | empty statements
2026-02-08 22:34:23,560 | WARNING | GECCG | quarterly | empty statements
2026-02-08 22:34:24,125 | WARNING | GECCH | quarterly | empty statements
2026-02-08 22:34:25,439 | WARNING | GECCI | quarterly | empty statements
2026-02-08 22:34:25,986 | WARNING | GECCO | quarterly | empty statements
2026-02-08 22:34:29,775 | WARNING | GEGGL | quarterly | empty statements
2026-02-08 22:34:33,592 | INFO | batch done | 1575/5182 (30.4%) | batch_symbols=25 | upsert_rows=87 | elapsed=35.7m
2026-02-08 22:35:09,005 | INFO | batch done | 1600/5182 (30.9%) | batch_symbols=25 | upsert_rows=136 | elapsed=36.3m
2026-02-08 22:35:33,329 | WARNING | GIXXU | quarterly | empty statements
2026-02-08 22:35:33,881 | WARNING | GJH | quarterly | empty statements
2026-02-08 22:35:34,726 | WARNING | GJO | quarterly | empty statements
2026-02-08 22:35:35,273 | WARNING | GJP | quarterly | empty statements
2026-02-08 22:35:36,288 | WARNING | GJR | quarterly | empty statements
2026-02-08 22:35:36,865 | WARNING | GJS | quarterly | empty statements
2026-02-08 22:35:37,981 | WARNING | GJT | quarterly | empty statements
2026-02-08 22:35:37,992 | INFO | batch done | 1625/5182 (31.4%) | batch_symbols=25 | upsert_rows=95 | elapsed=36.8m
2026-02-08 22:35:50,300 | WARNING | GLDI | quarterly | empty statements
2026-02-08 22:36:15,384 | INFO | batch done | 1650/5182 (31.8%) | batch_symbols=25 | upsert_rows=131 | elapsed=37.4m
2026-02-08 22:36:49,628 | INFO | batch done | 1675/5182 (32.3%) | batch_symbols=25 | upsert_rows=137 | elapsed=38.0m
2026-02-08 22:37:15,538 | WARNING | GPJA | quarterly | empty statements
2026-02-08 22:37:22,907 | INFO | batch done | 1700/5182 (32.8%) | batch_symbols=25 | upsert_rows=148 | elapsed=38.6m
2026-02-08 22:37:40,809 | WARNING | GREEL | quarterly | empty statements
2026-02-08 22:37:46,355 | WARNING | GRN | quarterly | empty statements
2026-02-08 22:37:55,937 | INFO | batch done | 1725/5182 (33.3%) | batch_symbols=25 | upsert_rows=130 | elapsed=39.1m
2026-02-08 22:38:31,448 | INFO | batch done | 1750/5182 (33.8%) | batch_symbols=25 | upsert_rows=146 | elapsed=39.7m
2026-02-08 22:39:07,130 | INFO | batch done | 1775/5182 (34.3%) | batch_symbols=25 | upsert_rows=136 | elapsed=40.3m
2026-02-08 22:39:43,704 | INFO | batch done | 1800/5182 (34.7%) | batch_symbols=25 | upsert_rows=145 | elapsed=40.9m
2026-02-08 22:39:46,823 | WARNING | HCXY | quarterly | empty statements
2026-02-08 22:39:52,247 | WARNING | HDLB | quarterly | empty statements
2026-02-08 22:40:18,531 | INFO | batch done | 1825/5182 (35.2%) | batch_symbols=25 | upsert_rows=130 | elapsed=41.5m
2026-02-08 22:40:45,437 | WARNING | HKD | quarterly | empty statements
2026-02-08 22:40:57,099 | INFO | batch done | 1850/5182 (35.7%) | batch_symbols=25 | upsert_rows=131 | elapsed=42.1m
2026-02-08 22:41:12,527 | WARNING | HNNAZ | quarterly | empty statements
2026-02-08 22:41:31,743 | INFO | batch done | 1875/5182 (36.2%) | batch_symbols=25 | upsert_rows=144 | elapsed=42.7m
2026-02-08 22:42:06,950 | INFO | batch done | 1900/5182 (36.7%) | batch_symbols=25 | upsert_rows=130 | elapsed=43.3m
2026-02-08 22:42:28,859 | WARNING | HTFC | quarterly | empty statements
2026-02-08 22:42:46,632 | INFO | batch done | 1925/5182 (37.1%) | batch_symbols=25 | upsert_rows=133 | elapsed=43.9m
2026-02-08 22:43:02,934 | WARNING | HWCPZ | quarterly | empty statements
2026-02-08 22:43:21,277 | INFO | batch done | 1950/5182 (37.6%) | batch_symbols=25 | upsert_rows=137 | elapsed=44.5m
2026-02-08 22:43:36,071 | WARNING | IBG | quarterly | empty statements
2026-02-08 22:43:59,947 | INFO | batch done | 1975/5182 (38.1%) | batch_symbols=25 | upsert_rows=144 | elapsed=45.2m
2026-02-08 22:44:28,707 | WARNING | IFED | quarterly | empty statements
2026-02-08 22:44:37,688 | INFO | batch done | 2000/5182 (38.6%) | batch_symbols=25 | upsert_rows=138 | elapsed=45.8m
2026-02-08 22:45:19,085 | INFO | batch done | 2025/5182 (39.1%) | batch_symbols=25 | upsert_rows=120 | elapsed=46.5m
2026-02-08 22:45:50,580 | WARNING | INBKZ | quarterly | empty statements
2026-02-08 22:45:54,336 | INFO | batch done | 2050/5182 (39.6%) | batch_symbols=25 | upsert_rows=126 | elapsed=47.1m
2026-02-08 22:46:30,842 | INFO | batch done | 2075/5182 (40.0%) | batch_symbols=25 | upsert_rows=148 | elapsed=47.7m
2026-02-08 22:47:10,687 | INFO | batch done | 2100/5182 (40.5%) | batch_symbols=25 | upsert_rows=147 | elapsed=48.3m
2026-02-08 22:47:21,711 | WARNING | IPB | quarterly | empty statements
2026-02-08 22:47:45,679 | INFO | batch done | 2125/5182 (41.0%) | batch_symbols=25 | upsert_rows=135 | elapsed=48.9m
2026-02-08 22:48:19,530 | INFO | batch done | 2150/5182 (41.5%) | batch_symbols=25 | upsert_rows=149 | elapsed=49.5m
2026-02-08 22:48:34,829 | WARNING | IWDL | quarterly | empty statements
2026-02-08 22:48:35,485 | WARNING | IWFL | quarterly | empty statements
2026-02-08 22:48:36,039 | WARNING | IWML | quarterly | empty statements
2026-02-08 22:48:53,611 | INFO | batch done | 2175/5182 (42.0%) | batch_symbols=25 | upsert_rows=130 | elapsed=50.1m
2026-02-08 22:48:59,592 | WARNING | JBK | quarterly | empty statements
2026-02-08 22:49:26,366 | INFO | batch done | 2200/5182 (42.5%) | batch_symbols=25 | upsert_rows=123 | elapsed=50.6m
2026-02-08 22:50:02,477 | WARNING | JSM | quarterly | empty statements
2026-02-08 22:50:02,491 | INFO | batch done | 2225/5182 (42.9%) | batch_symbols=25 | upsert_rows=118 | elapsed=51.2m
2026-02-08 22:50:39,963 | INFO | batch done | 2250/5182 (43.4%) | batch_symbols=25 | upsert_rows=152 | elapsed=51.9m
2026-02-08 22:51:15,350 | WARNING | KKRS | quarterly | empty statements
2026-02-08 22:51:15,871 | WARNING | KKRT | quarterly | empty statements
2026-02-08 22:51:18,620 | INFO | batch done | 2275/5182 (43.9%) | batch_symbols=25 | upsert_rows=133 | elapsed=52.5m
2026-02-08 22:51:33,212 | WARNING | KMPB | quarterly | empty statements
2026-02-08 22:51:54,779 | INFO | batch done | 2300/5182 (44.4%) | batch_symbols=25 | upsert_rows=143 | elapsed=53.1m
2026-02-08 22:52:29,119 | INFO | batch done | 2325/5182 (44.9%) | batch_symbols=25 | upsert_rows=157 | elapsed=53.7m
2026-02-08 22:52:40,008 | WARNING | KTH | quarterly | empty statements
2026-02-08 22:52:40,519 | WARNING | KTN | quarterly | empty statements
2026-02-08 22:53:02,816 | INFO | batch done | 2350/5182 (45.3%) | batch_symbols=25 | upsert_rows=128 | elapsed=54.3m
2026-02-08 22:53:41,024 | INFO | batch done | 2375/5182 (45.8%) | batch_symbols=25 | upsert_rows=143 | elapsed=54.9m
2026-02-08 22:54:17,462 | INFO | batch done | 2400/5182 (46.3%) | batch_symbols=25 | upsert_rows=149 | elapsed=55.5m
2026-02-08 22:54:55,982 | INFO | batch done | 2425/5182 (46.8%) | batch_symbols=25 | upsert_rows=136 | elapsed=56.1m
2026-02-08 22:55:38,233 | INFO | batch done | 2450/5182 (47.3%) | batch_symbols=25 | upsert_rows=147 | elapsed=56.8m
2026-02-08 22:56:18,658 | INFO | batch done | 2475/5182 (47.8%) | batch_symbols=25 | upsert_rows=144 | elapsed=57.5m
2026-02-08 22:56:57,232 | INFO | batch done | 2500/5182 (48.2%) | batch_symbols=25 | upsert_rows=153 | elapsed=58.2m
2026-02-08 22:57:33,968 | INFO | batch done | 2525/5182 (48.7%) | batch_symbols=25 | upsert_rows=154 | elapsed=58.8m
2026-02-08 22:58:09,507 | INFO | batch done | 2550/5182 (49.2%) | batch_symbols=25 | upsert_rows=146 | elapsed=59.4m
2026-02-08 22:58:50,014 | INFO | batch done | 2575/5182 (49.7%) | batch_symbols=25 | upsert_rows=144 | elapsed=60.0m
2026-02-08 22:59:25,820 | INFO | batch done | 2600/5182 (50.2%) | batch_symbols=25 | upsert_rows=146 | elapsed=60.6m
2026-02-08 23:00:01,826 | INFO | batch done | 2625/5182 (50.7%) | batch_symbols=25 | upsert_rows=138 | elapsed=61.2m
2026-02-08 23:00:38,667 | INFO | batch done | 2650/5182 (51.1%) | batch_symbols=25 | upsert_rows=143 | elapsed=61.9m
2026-02-08 23:00:41,357 | WARNING | METCI | quarterly | empty statements
2026-02-08 23:00:41,891 | WARNING | METCZ | quarterly | empty statements
2026-02-08 23:00:43,563 | WARNING | MFAN | quarterly | empty statements
2026-02-08 23:00:44,090 | WARNING | MFAO | quarterly | empty statements
2026-02-08 23:00:50,665 | WARNING | MFICL | quarterly | empty statements
2026-02-08 23:01:10,138 | INFO | batch done | 2675/5182 (51.6%) | batch_symbols=25 | upsert_rows=104 | elapsed=62.4m
2026-02-08 23:01:11,674 | WARNING | MGR | quarterly | empty statements
